Brand,Model No,Discription,Category,Vehical Application,Features,Price,Intallation Video (Youtube Link),Other Information,Disclaimer,Downloads
TOYOTA,FA-TY04/OCR/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Corolla 2003-2007,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1615,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-1,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY04LH/FNR/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Fortuner 2012- July 2018,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2075,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-2,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY02/FOR/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Fortuner After July 2018+,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,1605,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO-AD-TO/NW-1,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,475,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/INO-A/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Innova Auto 2006-14,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2195,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-3,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,FA-TY03/INO-M/9,"Car Stereo Installation Facia Kit For Android 9"" & 10""",ANDROID FRAMES,Toyota Innova Manual 2006-14,1. 9inch Android Radio Provision. 2. Suitable Panel replaces the factory dash panel/radio and provides the space for a modern 9inch Android Radio. 3. No custom fabrication work is required. 4. Painted scratch resistant matched with Car Interior.,2195,,This product has been developed through carefully documented data and research.,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
TOYOTA,CO/AD-TO/OL-4,System Harness Converts OEM Harness to aftermarket Android radio connection.,ANDROID FRAMES,,1. This harness is required when replacing your factory fitted radio with an aftermarket Android radio. 2. Plug and play no cutting of original car wires required. 3. Converts car original vehicle power/speaker connector to a universal Android radio connection. 4. Simply plug one end of the adapter into your cars wiring harness and the other into your new Android radio. 5. All wires used pure copper.,405,,Please check the connections in the vehicle match the harness you are purchasing,KIPSC AR-AV ELECTRONICS PVT LTD cannot be held responsible for discrepancies/inconsistencies that may occur due to vehicle manufacturing changes. Liability is restricted to replacement of Product/s only if any damage that may occur in the vehicle during the installation of components.,
